infolder, /home/david/Documents/Research/FireSimulator/Instances/400CellsDLW/test1inputs, ReplicateNum, 1, seed, 1134, ROSCV, 0.13, MeanBurnout, 2, CellArea, 1000000.0, NCells, 400, Burntcells, 171, NonBurnable, 0, StillAvailableCells, 229, SimYears, 1, fireperiods1, 59
infolder, /home/david/Documents/Research/FireSimulator/Instances/400CellsDLW/test1inputs, ReplicateNum, 2, seed, 1134, ROSCV, 0.13, MeanBurnout, 2, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /home/david/Documents/Research/FireSimulator/Instances/400CellsDLW/test1inputs, ReplicateNum, 3, seed, 1134, ROSCV, 0.13, MeanBurnout, 2, CellArea, 1000000.0, NCells, 400, Burntcells, 98, NonBurnable, 0, StillAvailableCells, 302, SimYears, 1, fireperiods1, 31
infolder, /home/david/Documents/Research/FireSimulator/Instances/400CellsDLW/test1inputs, ReplicateNum, 4, seed, 1134, ROSCV, 0.13, MeanBurnout, 2, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /home/david/Documents/Research/FireSimulator/Instances/400CellsDLW/test1inputs, ReplicateNum, 5, seed, 1134, ROSCV, 0.13, MeanBurnout, 2, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /home/david/Documents/Research/FireSimulator/Instances/400CellsDLW/test1inputs, ReplicateNum, 6, seed, 1134, ROSCV, 0.13, MeanBurnout, 2, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /home/david/Documents/Research/FireSimulator/Instances/400CellsDLW/test1inputs, ReplicateNum, 7, seed, 1134, ROSCV, 0.13, MeanBurnout, 2, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /home/david/Documents/Research/FireSimulator/Instances/400CellsDLW/test1inputs, ReplicateNum, 8, seed, 1134, ROSCV, 0.13, MeanBurnout, 2, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /home/david/Documents/Research/FireSimulator/Instances/400CellsDLW/test1inputs, ReplicateNum, 9, seed, 1134, ROSCV, 0.13, MeanBurnout, 2, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 4
infolder, /home/david/Documents/Research/FireSimulator/Instances/400CellsDLW/test1inputs, ReplicateNum, 10, seed, 1134, ROSCV, 0.13, MeanBurnout, 2, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 4
