,c2,,,,,,,2138.0,,,,,16.0,342.0,,,0.8,,20
,c2,,,,,,,2144.0,,,,,24.0,324.0,,,0.8,,20
,c2,,,,,,,2163.0,,,,,32.0,308.0,,,0.8,,20
,nf,,,,,,,2198.0,,,,,41.0,298.0,,,,,20
,nf,,,,,,,2234.0,,,,,42.0,305.0,,,,,20
,nf,,,,,,,2259.0,,,,,44.0,315.0,,,,,20
,nf,,,,,,,2290.0,,,,,45.0,312.0,,,,,20
,nf,,,,,,,2335.0,,,,,19.0,45.0,,,,,20
,nf,,,,,,,2286.0,,,,,65.0,91.0,,,,,20
,nf,,,,,,,2212.0,,,,,42.0,93.0,,,,,20
,c1,,,,,,,2195.0,,,,,16.0,86.0,,,0.75,,20
,c1,,,,,,,2178.0,,,,,24.0,86.0,,,0.75,,20
,c2,,,,,,,2147.0,,,,,27.0,85.0,,,0.8,,20
,c2,,,,,,,2123.0,,,,,19.0,84.0,,,0.8,,20
,o1a,,,,,,,2110.0,,,,,3.0,153.0,,,0.35,60.0,20
,c2,,,,,,,2128.0,,,,,9.0,217.0,,,0.8,,20
,c2,,,,,,,2122.0,,,,,6.0,123.0,,,0.8,,20
,c2,,,,,,,2109.0,,,,,8.0,91.0,,,0.8,,20
,c2,,,,,,,2108.0,,,,,7.0,162.0,,,0.8,,20
,c2,,,,,,,2116.0,,,,,16.0,183.0,,,0.8,,20
,nf,,,,,,,2166.0,,,,,40.0,345.0,,,,,20
,nf,,,,,,,2188.0,,,,,52.0,335.0,,,,,20
,nf,,,,,,,2207.0,,,,,60.0,334.0,,,,,20
,nf,,,,,,,2231.0,,,,,67.0,327.0,,,,,20
,nf,,,,,,,2284.0,,,,,69.0,325.0,,,,,20
,nf,,,,,,,2323.0,,,,,66.0,329.0,,,,,20
,nf,,,,,,,2366.0,,,,,47.0,338.0,,,,,20
,nf,,,,,,,2363.0,,,,,44.0,65.0,,,,,20
,nf,,,,,,,2265.0,,,,,73.0,90.0,,,,,20
,nf,,,,,,,2210.0,,,,,38.0,97.0,,,,,20
,nf,,,,,,,2200.0,,,,,16.0,102.0,,,,,20
,c1,,,,,,,2179.0,,,,,23.0,95.0,,,0.75,,20
,c2,,,,,,,2152.0,,,,,25.0,89.0,,,0.8,,20
,c2,,,,,,,2128.0,,,,,20.0,87.0,,,0.8,,20
,c2,,,,,,,2109.0,,,,,12.0,116.0,,,0.8,,20
,c2,,,,,,,2101.0,,,,,14.0,188.0,,,0.8,,20
,c2,,,,,,,2118.0,,,,,12.0,203.0,,,0.8,,20
,c2,,,,,,,2117.0,,,,,6.0,110.0,,,0.8,,20
,c2,,,,,,,2094.0,,,,,10.0,95.0,,,0.8,,20
,c2,,,,,,,2078.0,,,,,7.0,144.0,,,0.8,,20
,nf,,,,,,,2211.0,,,,,61.0,346.0,,,,,20
,nf,,,,,,,2241.0,,,,,69.0,335.0,,,,,20
,nf,,,,,,,2277.0,,,,,72.0,335.0,,,,,20
,nf,,,,,,,2312.0,,,,,68.0,332.0,,,,,20
,nf,,,,,,,2348.0,,,,,53.0,327.0,,,,,20
,o1a,,,,,,,2379.0,,,,,32.0,318.0,,,0.35,60.0,20
,o1a,,,,,,,2394.0,,,,,5.0,33.0,,,0.35,60.0,20
,o1a,,,,,,,2364.0,,,,,58.0,97.0,,,0.35,60.0,20
,nf,,,,,,,2273.0,,,,,79.0,97.0,,,,,20
,nf,,,,,,,2202.0,,,,,39.0,105.0,,,,,20
,nf,,,,,,,2189.0,,,,,18.0,126.0,,,,,20
,c1,,,,,,,2171.0,,,,,23.0,114.0,,,0.75,,20
,c1,,,,,,,2149.0,,,,,24.0,109.0,,,0.75,,20
,c2,,,,,,,2127.0,,,,,18.0,103.0,,,0.8,,20
,c2,,,,,,,2107.0,,,,,17.0,95.0,,,0.8,,20
,c2,,,,,,,2086.0,,,,,10.0,136.0,,,0.8,,20
,c2,,,,,,,2094.0,,,,,18.0,206.0,,,0.8,,20
,c2,,,,,,,2113.0,,,,,12.0,204.0,,,0.8,,20
,c2,,,,,,,2111.0,,,,,6.0,56.0,,,0.8,,20
,c2,,,,,,,2098.0,,,,,15.0,17.0,,,0.8,,20
,nf,,,,,,,2284.0,,,,,60.0,347.0,,,,,20
,nf,,,,,,,2314.0,,,,,55.0,334.0,,,,,20
,nf,,,,,,,2341.0,,,,,40.0,328.0,,,,,20
,nf,,,,,,,2364.0,,,,,24.0,315.0,,,,,20
,o1a,,,,,,,2374.0,,,,,11.0,272.0,,,0.35,60.0,20
,o1a,,,,,,,2372.0,,,,,13.0,207.0,,,0.35,60.0,20
,o1a,,,,,,,2372.0,,,,,24.0,142.0,,,0.35,60.0,20
,o1a,,,,,,,2338.0,,,,,67.0,111.0,,,0.35,60.0,20
,nf,,,,,,,2248.0,,,,,80.0,108.0,,,,,20
,nf,,,,,,,2187.0,,,,,41.0,120.0,,,,,20
,o1a,,,,,,,2176.0,,,,,20.0,142.0,,,0.35,60.0,20
,o1a,,,,,,,2161.0,,,,,23.0,123.0,,,0.35,60.0,20
,o1a,,,,,,,2133.0,,,,,22.0,116.0,,,0.35,60.0,20
,c2,,,,,,,2118.0,,,,,13.0,113.0,,,0.8,,20
,c2,,,,,,,2113.0,,,,,13.0,86.0,,,0.8,,20
,c2,,,,,,,2091.0,,,,,15.0,83.0,,,0.8,,20
,c2,,,,,,,2074.0,,,,,9.0,164.0,,,0.8,,20
,o1a,,,,,,,2086.0,,,,,21.0,210.0,,,0.35,60.0,20
,c2,,,,,,,2107.0,,,,,16.0,213.0,,,0.8,,20
,c2,,,,,,,2112.0,,,,,4.0,209.0,,,0.8,,20
,nf,,,,,,,2334.0,,,,,15.0,334.0,,,,,20
,nf,,,,,,,2345.0,,,,,11.0,286.0,,,,,20
,nf,,,,,,,2347.0,,,,,11.0,221.0,,,,,20
,nf,,,,,,,2346.0,,,,,17.0,198.0,,,,,20
,nf,,,,,,,2347.0,,,,,19.0,190.0,,,,,20
,nf,,,,,,,2351.0,,,,,17.0,188.0,,,,,20
,o1a,,,,,,,2355.0,,,,,27.0,132.0,,,0.35,60.0,20
,o1a,,,,,,,2313.0,,,,,72.0,109.0,,,0.35,60.0,20
