infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 21, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 5
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 22, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 356, NonBurnable, 0, StillAvailableCells, 44, SimYears, 1, fireperiods1, 193
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 23, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 5
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 24, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 25, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 26, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 5
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 27, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 28, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 29, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 30, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 5
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 31, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 358, NonBurnable, 0, StillAvailableCells, 42, SimYears, 1, fireperiods1, 149
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 32, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 33, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 34, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 35, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 36, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 37, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 5
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 38, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 39, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 40, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 41, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 42, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 43, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 44, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 4
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 45, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 5
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 46, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 5
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 47, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 48, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 5
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 49, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 5
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 50, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 4
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 51, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 52, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 380, NonBurnable, 0, StillAvailableCells, 20, SimYears, 1, fireperiods1, 173
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 53, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 5
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 54, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 55, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 56, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 57, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 4
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 58, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 59, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 60, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 61, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
